album,author,bits,date,download_password,download_url,file_format,info,language,music,size,title
选自专辑《Now That I've Found You: A Collection》,Alison Krauss,763Kbps,2014-05-02,hvce,http://pan.baidu.com/s/1bnlbi5h,flac,"选自专辑《Now That I've Found You: A Collection》,763Kbps,23.8M,英语,2014-05-02",英语,When You Say Nothing at All,23.8M,Alison Krauss - When You Say Nothing at All.flac
选自专辑《So Long So Wrong》,Alison Krauss,735Kbps,2015-10-09,kcm9,http://pan.baidu.com/s/1pJ8CFwR,ape,"选自专辑《So Long So Wrong》,735Kbps,20.4M,英语,2015-10-09",英语,It Doesn't Matter,20.4M,Alison Krauss - It Doesn't Matter.ape
选自专辑《As I Am》,Alicia Keys,933Kbps,2014-06-01,vcm8,http://pan.baidu.com/s/1dDy48I9,flac,"选自专辑《As I Am》,933Kbps,28.3M,英语,2014-06-01",英语,No One,28.3M,Alicia Keys - No One.flac
选自专辑《The Diary of Alicia Keys》,Alicia Keys,831Kbps,2014-06-23,4464,http://pan.baidu.com/s/1i30yK7N,ape,"选自专辑《The Diary of Alicia Keys》,831Kbps,22.2M,英语,2014-06-23",英语,If I Ain't Got You,22.2M,Alicia Keys - If I Ain't Got You.ape
选自专辑《Trespassing(Deluxe Edition)》,Adam Lambert,870Kbps,2014-04-27,6ih1,http://pan.baidu.com/s/1eQGdjFk,ape,"选自专辑《Trespassing(Deluxe Edition)》,870Kbps,24.0M,英语,2014-04-27",英语,Outlaws Of Love,24.0M,Adam Lambert - Outlaws Of Love.ape
选自专辑《你到底有没有爱过我》,蓝波,902Kbps,2014-10-28,193b,http://pan.baidu.com/s/1pJka1xp,flac,"选自专辑《你到底有没有爱过我》,902Kbps,27.8M,国语,2014-10-28",国语,你到底有没有爱过我,27.8M,蓝波 - 你到底有没有爱过我.flac
选自专辑《男人的尊严》,蓝波,955Kbps,2015-06-18,w9i6,http://pan.baidu.com/s/1hqeqXPq,flac,"选自专辑《男人的尊严》,955Kbps,28.1M,国语,2015-06-18",国语,男人的尊严,28.1M,蓝波 - 男人的尊严.flac
选自专辑《四平青年之浩哥大战古惑仔影视原声带》,蓝波,Kbps,2017-07-01,无,http://pan.baidu.com/s/1kVsolxl,flac,"选自专辑《四平青年之浩哥大战古惑仔影视原声带》,Kbps,26.4M,国语,2017-07-01",国语,迎着风,26.4M,蓝波 - 迎着风.flac
选自专辑《走出大凉山》,山鹰组合,798Kbps,2014-05-30,6unw,http://pan.baidu.com/s/1gdxe1gf,ape,"选自专辑《走出大凉山》,798Kbps,29.4M,国语,2014-05-30",国语,走出大凉山,29.4M,山鹰组合 - 走出大凉山.ape
选自专辑《走出大凉山·家的孩子》,山鹰组合,872Kbps,2015-08-25,nwks,http://pan.baidu.com/s/1jGH7pEA,ape,"选自专辑《走出大凉山·家的孩子》,872Kbps,28.3M,国语,2015-08-25",国语,七月火把节,28.3M,山鹰组合 - 七月火把节.ape
选自专辑《为你而活》,神木与瞳,945Kbps,2015-03-14,onyx,http://pan.baidu.com/s/1mgn8d6o,flac,"选自专辑《为你而活》,945Kbps,31.8M,国语,2015-03-14",国语,为你而活,31.8M,神木与瞳 - 为你而活.flac
选自专辑《For Your Entertainment》,Adam Lambert,1041Kbps,2015-09-18,282b,http://pan.baidu.com/s/1bnjXdTH,flac,"选自专辑《For Your Entertainment》,1041Kbps,35.1M,英语,2015-09-18",英语,Time For Miracle Tg,35.1M,Adam Lambert - Time For Miracle Tg.flac
选自专辑《The Original High》,Adam Lambert,1020Kbps,2015-10-09,geix,http://pan.baidu.com/s/1kTtRJ75,flac,"选自专辑《The Original High》,1020Kbps,25.2M,英语,2015-10-09",英语,The Original High,25.2M,Adam Lambert - The Original High.flac
选自专辑《Ghost Town》,Adam Lambert,873Kbps,2015-10-17,bysw,http://pan.baidu.com/s/1gdrsE6R,ape,"选自专辑《Ghost Town》,873Kbps,21.7M,英语,2015-10-17",英语,Ghost Town,21.7M,Adam Lambert - Ghost Town.ape
选自专辑《新龙谣2》,苏云,902Kbps,2014-07-30,lpa1,http://pan.baidu.com/s/1gdKg27T,flac,"选自专辑《新龙谣2》,902Kbps,28.1M,国语,2014-07-30",国语,知道不知道,28.1M,苏云 - 知道不知道.flac
选自专辑《Angel》,Akon,1060Kbps,2014-03-28,3ffz,http://pan.baidu.com/s/1riPkU,flac,"选自专辑《Angel》,1060Kbps,27.2M,英语,2014-03-28",英语,angel,27.2M,Akon - angel.flac
选自专辑《Oh Africa》,Akon,1027Kbps,2014-09-16,p3ou,http://pan.baidu.com/s/1pJoIcVD,flac,"选自专辑《Oh Africa》,1027Kbps,24.7M,英语,2014-09-16",英语,Oh Africa,24.7M,Akon - Oh Africa.flac
选自专辑《Freedom》,Akon,1411Kbps,2015-09-18,y8dv,http://pan.baidu.com/s/1jGvUfCM,wav,"选自专辑《Freedom》,1411Kbps,32.6M,英语,2015-09-18",英语,Sexy Bitch,32.6M,Akon - Sexy Bitch.wav
选自专辑《Dear Shunza》,顺子,674Kbps,2013-09-22,b6f5,http://pan.baidu.com/s/1dDxim0T,ape,"选自专辑《Dear Shunza》,674Kbps,15.5M,国语,2013-09-22",国语,Dear Friend,15.5M,顺子 - Dear Friend.ape
选自专辑《I Am Not A Star》,顺子,795Kbps,2015-03-09,m6yr,http://pan.baidu.com/s/1pJsR0QR,flac,"选自专辑《I Am Not A Star》,795Kbps,28.6M,国语,2015-03-09",国语,写一首歌,28.6M,顺子 - 写一首歌.flac
选自专辑《我的朋友 Betty Su》,顺子,1411Kbps,2015-10-11,gmyw,http://pan.baidu.com/s/1c09Fn6w,wav,"选自专辑《我的朋友 Betty Su》,1411Kbps,48.6M,国语,2015-10-11",国语,不再想念,48.6M,顺子 - 不再想念.wav
选自专辑《滚石香港黄金十年系列-顺子精选》,顺子,844Kbps,2015-03-25,jcy8,http://pan.baidu.com/s/1qWkc4pQ,ape,"选自专辑《滚石香港黄金十年系列-顺子精选》,844Kbps,405.6M,国语,2015-03-25",国语,专辑《滚石香港黄金十年系列-顺子精选》整轨无损,405.6M,顺子 - 专辑《滚石香港黄金十年系列-顺子精选》整轨无损.ape
选自专辑《OPEN UP》,顺子,1411Kbps,2015-08-25,mg3d,http://pan.baidu.com/s/1kT9xIuj,wav,"选自专辑《OPEN UP》,1411Kbps,45.6M,英语,2015-08-25",英语,Ring My Bell,45.6M,顺子 - Ring My Bell.wav
选自专辑《Shunza》,顺子,876Kbps,2014-05-04,k1vb,http://pan.baidu.com/s/1dD7XFbj,ape,"选自专辑《Shunza》,876Kbps,31.3M,国语,2014-05-04",国语,回家,31.3M,顺子 - 回家.ape
选自专辑《滚石香港黄金十年 顺子精选》,顺子,925Kbps,2014-06-10,v65a,http://pan.baidu.com/s/1eQziGRC,ape,"选自专辑《滚石香港黄金十年 顺子精选》,925Kbps,20.4M,国语,2014-06-10",国语,Open Up,20.4M,顺子 - Open Up.ape
选自专辑《中国好声音》,苏琪繁,2304Kbps,2014-09-13,yxrv,http://pan.baidu.com/s/1pJFhzOR,wav,"选自专辑《中国好声音》,2304Kbps,37.6M,国语,2014-09-13",国语,梦醒时分,37.6M,苏琪繁 - 梦醒时分.wav
选自专辑《21(Deluxe Edition)》,Adele,688Kbps,2014-01-05,kq7n,http://pan.baidu.com/s/1gdIIK9P,ape,"选自专辑《21(Deluxe Edition)》,688Kbps,23.5M,英语,2014-01-05",英语,Someone Like You,23.5M,Adele - Someone Like You.ape
选自专辑《中国好声音》,苏琪繁,2304Kbps,2014-08-09,16os,http://pan.baidu.com/s/1i3kQKQD,wav,"选自专辑《中国好声音》,2304Kbps,58.6M,国语,2014-08-09",国语,会痛的石头,58.6M,苏琪繁 - 会痛的石头.wav
选自专辑《中国好声音》,苏琪繁,2304Kbps,2014-09-13,kdji,http://pan.baidu.com/s/1ntqiZsX,wav,"选自专辑《中国好声音》,2304Kbps,68.9M,国语,2014-09-13",国语,袖手旁观,68.9M,苏琪繁 - 袖手旁观.wav
选自专辑《Greatest Hits》,Adele,793Kbps,2014-12-05,gmss,http://pan.baidu.com/s/1dDeqbJV,flac,"选自专辑《Greatest Hits》,793Kbps,29.9M,英语,2014-12-05",英语,Love Song,29.9M,Adele - Love Song.flac
选自专辑《Skyfall》,Adele,839Kbps,2014-03-12,fiqm,http://pan.baidu.com/s/1bnCf79l,flac,"选自专辑《Skyfall》,839Kbps,28.9M,英语,2014-03-12",英语,skyfall,28.9M,Adele - skyfall.flac
选自专辑《21》,Adele,1411Kbps,2014-06-06,s58t,http://pan.baidu.com/s/1miEzztu,wav,"选自专辑《21》,1411Kbps,327.9M,英语,2014-06-06",英语,专辑《21》分轨无损,327.9M,Adele - 专辑《21》分轨无损.wav
选自专辑《我不能悲伤地坐在你身旁》,左小祖咒,790Kbps,2014-09-05,sfyj,http://pan.baidu.com/s/1dD4BBAL,ape,"选自专辑《我不能悲伤地坐在你身旁》,790Kbps,36.0M,国语,2014-09-05",国语,我不能悲伤地坐在你身旁,36.0M,左小祖咒 - 我不能悲伤地坐在你身旁.ape
选自专辑《Greatest Hits》,Adele,844Kbps,2014-06-20,kk95,http://pan.baidu.com/s/1o68wcIm,ape,"选自专辑《Greatest Hits》,844Kbps,35.0M,英语,2014-06-20",英语,One And Only,35.0M,Adele - One And Only.ape
选自专辑《Greenberg Original Motion Picture Soundtrack》,Albert Hammond,890Kbps,2014-06-25,9p4w,http://pan.baidu.com/s/1kTwWW7P,flac,"选自专辑《Greenberg Original Motion Picture Soundtrack》,890Kbps,24.4M,英语,2014-06-25",英语,It Never Rains In Southern California,24.4M,Albert Hammond - It Never Rains In Southern California.flac
选自专辑《善意的谎言》,司徒兰芳,1044Kbps,2015-08-24,e6gs,http://pan.baidu.com/s/1ntIMY3v,flac,"选自专辑《善意的谎言》,1044Kbps,30.3M,国语,2015-08-24",国语,女人不是妖,30.3M,司徒兰芳 - 女人不是妖.flac
选自专辑《善意的谎言》,司徒兰芳,1057Kbps,2015-09-20,zima,http://pan.baidu.com/s/1kTD3hwb,flac,"选自专辑《善意的谎言》,1057Kbps,33.7M,国语,2015-09-20",国语,爱的草原情的河,33.7M,司徒兰芳 - 爱的草原情的河.flac
选自专辑《珍惜的背包》,苏有朋,871Kbps,2013-11-03,c65u,http://pan.baidu.com/s/1dDGflmh,ape,"选自专辑《珍惜的背包》,871Kbps,28.3M,国语,2013-11-03",国语,背包,28.3M,苏有朋 - 背包.ape
选自专辑《了解》,苏有朋,798Kbps,2013-12-01,tfa9,http://pan.baidu.com/s/1jGkNcHo,ape,"选自专辑《了解》,798Kbps,25.0M,国语,2013-12-01",国语,珍惜,25.0M,苏有朋 - 珍惜.ape
选自专辑《家在北极村》,左小祖咒,791Kbps,2015-08-10,bsu4,http://pan.baidu.com/s/1eQ53a8a,ape,"选自专辑《家在北极村》,791Kbps,36.3M,国语,2015-08-10",国语,爱情的枪,36.3M,左小祖咒 - 爱情的枪.ape
选自专辑《大事》,左小祖咒,1411Kbps,2015-10-13,knkr,http://pan.baidu.com/s/1sjoqmdR,wav,"选自专辑《大事》,1411Kbps,55.1M,国语,2015-10-13",国语,忧伤的老板,55.1M,左小祖咒 - 忧伤的老板.wav
选自专辑《大事》,左小祖咒,869Kbps,2015-10-14,uwnq,http://pan.baidu.com/s/1kT6dwDx,flac,"选自专辑《大事》,869Kbps,32.2M,国语,2015-10-14",国语,好姑娘,32.2M,左小祖咒 - 好姑娘.flac
选自专辑《21》,Adele,Kbps,2016-07-29,无,http://pan.baidu.com/s/1kVRNY4Z,ape,"选自专辑《21》,Kbps,41M,国语,2016-07-29",国语,Don't You Remember,41M,Adele - Don't You Remember.ape
选自专辑《月亮女儿》,张燕,1411Kbps,2015-07-28,456h,http://pan.baidu.com/s/1hqtmKtu,wav,"选自专辑《月亮女儿》,1411Kbps,555.7M,国语,2015-07-28",国语,专辑《月亮女儿》整轨无损,555.7M,张燕 - 专辑《月亮女儿》整轨无损.wav
选自专辑《21》,Adele,Kbps,2016-07-29,无,http://pan.baidu.com/s/1nvgwLnF,wav,"选自专辑《21》,Kbps,42.8M,国语,2016-07-29",国语,Turning Tables,42.8M,Adele - Turning Tables.wav
选自专辑《Rolling In The Deep》,Adele,Kbps,2016-07-30,lute,http://pan.baidu.com/s/1dELPQe9,wav,"选自专辑《Rolling In The Deep》,Kbps,38.4M,国语,2016-07-30",国语,Rolling In The Deep,38.4M,Adele - Rolling In The Deep.wav
选自专辑《伤口》,苏有朋,865Kbps,2015-09-28,a7wm,http://pan.baidu.com/s/1qWzguao,ape,"选自专辑《伤口》,865Kbps,28.1M,国语,2015-09-28",国语,最爱你的人,28.1M,苏有朋 - 最爱你的人.ape
选自专辑《缘份》,张燕,936Kbps,2015-08-07,qctp,http://pan.baidu.com/s/1i3AMy37,flac,"选自专辑《缘份》,936Kbps,30.8M,国语,2015-08-07",国语,红对联,30.8M,张燕 - 红对联.flac
选自专辑《21》,Adele,Kbps,2016-07-30,无,http://pan.baidu.com/s/1czagAa,wav,"选自专辑《21》,Kbps,40.6M,国语,2016-07-30",国语,Set Fire to the Rain,40.6M,Adele - Set Fire to the Rain.wav
选自专辑《21》,Adele,Kbps,2016-07-30,无,http://pan.baidu.com/s/1hskAN0w,wav,"选自专辑《21》,Kbps,46.7M,国语,2016-07-30",国语,He Won't Go,46.7M,Adele - He Won't Go.wav
选自专辑《21》,Adele,Kbps,2016-07-30,无,http://pan.baidu.com/s/1jHR9QQU,wav,"选自专辑《21》,Kbps,58.3M,国语,2016-07-30",国语,One and Only,58.3M,Adele - One and Only.wav
选自专辑《凤凰展翅》,司徒兰芳,1000Kbps,2014-05-03,obh2,http://pan.baidu.com/s/1qW0jH3Q,ape,"选自专辑《凤凰展翅》,1000Kbps,27.7M,国语,2014-05-03",国语,凤凰展翅,27.7M,司徒兰芳 - 凤凰展翅.ape
选自专辑《21》,Adele,Kbps,2016-07-30,无,http://pan.baidu.com/s/1dF0pUq1,wav,"选自专辑《21》,Kbps,48M,国语,2016-07-30",国语,Someone Like You,48M,Adele - Someone Like You.wav
选自专辑《21》,Adele,Kbps,2016-07-30,无,http://pan.baidu.com/s/1jHR9QRk,wav,"选自专辑《21》,Kbps,53.2M,国语,2016-07-30",国语,Lovesong,53.2M,Adele - Lovesong.wav
选自专辑《Hometown Glory》,Adele,Kbps,2016-07-30,无,http://pan.baidu.com/s/1bpn2OGn,flac,"选自专辑《Hometown Glory》,Kbps,23.1M,国语,2016-07-30",国语,Best For Last,23.1M,Adele - Best For Last.flac
选自专辑《19(Deluxe Edition)》,Adele,Kbps,2016-07-31,无,http://pan.baidu.com/s/1jHQnSRc,flac,"选自专辑《19(Deluxe Edition)》,Kbps,23.2M,国语,2016-07-31",国语,Chasing Pavements,23.2M,Adele - Chasing Pavements.flac
选自专辑《19》,Adele,Kbps,2016-07-30,无,http://pan.baidu.com/s/1boFCQQj,flac,"选自专辑《19》,Kbps,18.7M,国语,2016-07-30",国语,Daydreamer,18.7M,Adele - Daydreamer.flac
选自专辑《19(Deluxe Edition)》,Adele,Kbps,2016-07-31,无,http://pan.baidu.com/s/1nuQhP5B,flac,"选自专辑《19(Deluxe Edition)》,Kbps,22.5M,国语,2016-07-31",国语,Cold Shoulder,22.5M,Adele - Cold Shoulder.flac
选自专辑《19(Deluxe Edition)》,Adele,Kbps,2016-07-31,无,http://pan.baidu.com/s/1c2meNfU,flac,"选自专辑《19(Deluxe Edition)》,Kbps,16.4M,英语,2016-07-31",英语,Crazy For You,16.4M,Adele - Crazy For You.flac
选自专辑《19(Deluxe Edition)》,Adele,Kbps,2016-07-31,无,http://pan.baidu.com/s/1nvgwO0x,flac,"选自专辑《19(Deluxe Edition)》,Kbps,21.4M,国语,2016-07-31",国语,Melt My Heart To Stone,21.4M,Adele - Melt My Heart To Stone.flac
选自专辑《21》,Adele,974Kbps,2014-12-06,qmda,http://pan.baidu.com/s/1sjO8N6X,flac,"选自专辑《21》,974Kbps,28.1M,英语,2014-12-06",英语,Set Fire To The Rain,28.1M,Adele - Set Fire To The Rain.flac
选自专辑《21》,Adele,Kbps,2016-07-30,无,http://pan.baidu.com/s/1i5aztZJ,wav,"选自专辑《21》,Kbps,38.4M,国语,2016-07-30",国语,Take It All,38.4M,Adele - Take It All.wav
选自专辑《19(Deluxe Edition)》,Adele,Kbps,2016-07-31,无,http://pan.baidu.com/s/1i5fOY4P,flac,"选自专辑《19(Deluxe Edition)》,Kbps,28.5M,英语,2016-07-31",英语,Tired,28.5M,Adele - Tired.flac
选自专辑《19(Deluxe Edition)》,Adele,Kbps,2016-07-31,无,http://pan.baidu.com/s/1jIDCTU2,flac,"选自专辑《19(Deluxe Edition)》,Kbps,24.3M,英语,2016-07-31",英语,Hometown Glory,24.3M,Adele - Hometown Glory.flac
选自专辑《25》,Adele,Kbps,2016-08-01,无,http://pan.baidu.com/s/1jIfNcvs,ape,"选自专辑《25》,Kbps,28.4M,英语,2016-08-01",英语,Hello,28.4M,Adele - Hello.ape
选自专辑《19(Deluxe Edition)》,Adele,Kbps,2016-07-31,无,http://pan.baidu.com/s/1pLu5QP1,flac,"选自专辑《19(Deluxe Edition)》,Kbps,15.8M,英语,2016-07-31",英语,First Love,15.8M,Adele - First Love.flac
选自专辑《19(Deluxe Edition)》,Adele,Kbps,2016-07-31,无,http://pan.baidu.com/s/1i5570up,flac,"选自专辑《19(Deluxe Edition)》,Kbps,20.95M,国语,2016-07-31",国语,Right As Rain,20.95M,Adele - Right As Rain.flac
选自专辑《25》,Adele,Kbps,2016-08-01,无,http://pan.baidu.com/s/1gflYOcN,flac,"选自专辑《25》,Kbps,24M,英语,2016-08-01",英语,Send My Love(To Your New Lover),24M,Adele - Send My Love(To Your New Lover).flac
选自专辑《21》,Adele,Kbps,2016-07-30,无,http://pan.baidu.com/s/1slzR3UP,wav,"选自专辑《21》,Kbps,40.6M,国语,2016-07-30",国语,I'll Be Waiting,40.6M,Adele - I'll Be Waiting.wav
选自专辑《25》,Adele,Kbps,2016-08-01,无,http://pan.baidu.com/s/1c2NYD12,flac,"选自专辑《25》,Kbps,27.5M,国语,2016-08-01",国语,When We Were Young,27.5M,Adele - When We Were Young.flac
选自专辑《25》,Adele,Kbps,2016-08-01,无,http://pan.baidu.com/s/1nvAjhk1,flac,"选自专辑《25》,Kbps,38M,英语,2016-08-01",英语,i miss you,38M,Adele - i miss you.flac
选自专辑《25》,Adele,Kbps,2016-08-01,无,http://pan.baidu.com/s/1kVi2RFx,flac,"选自专辑《25》,Kbps,27.5M,英语,2016-08-01",英语,Water Under The Bridge,27.5M,Adele - Water Under The Bridge.flac
选自专辑《19(Deluxe Edition)》,Adele,Kbps,2016-07-31,无,http://pan.baidu.com/s/1o8CiPZG,flac,"选自专辑《19(Deluxe Edition)》,Kbps,17.4M,英语,2016-07-31",英语,Make You Feel My Love,17.4M,Adele - Make You Feel My Love.flac
选自专辑《25》,Adele,Kbps,2016-08-02,无,http://pan.baidu.com/s/1hswglt6,flac,"选自专辑《25》,Kbps,28.7M,英语,2016-08-02",英语,Love In The Dark,28.7M,Adele - Love In The Dark.flac
选自专辑《25》,Adele,Kbps,2016-08-02,无,http://pan.baidu.com/s/1c7NKtC,flac,"选自专辑《25》,Kbps,20.5M,英语,2016-08-02",英语,Million Years Ago,20.5M,Adele - Million Years Ago.flac
选自专辑《25》,Adele,Kbps,2016-08-02,无,http://pan.baidu.com/s/1jI99twa,flac,"选自专辑《25》,Kbps,27.2M,国语,2016-08-02",国语,Sweetest Devotion,27.2M,Adele - Sweetest Devotion.flac
选自专辑《25》,Adele,Kbps,2016-08-02,无,http://pan.baidu.com/s/1kUBsTF5,flac,"选自专辑《25》,Kbps,17M,英语,2016-08-02",英语,Can't Let Go,17M,Adele - Can't Let Go.flac
选自专辑《25》,Adele,Kbps,2016-08-02,无,http://pan.baidu.com/s/1ge6bzhD,flac,"选自专辑《25》,Kbps,24.3M,国语,2016-08-02",国语,River Lea,24.3M,Adele - River Lea.flac
选自专辑《25》,Adele,Kbps,2016-08-02,无,http://pan.baidu.com/s/1gf5BHWR,flac,"选自专辑《25》,Kbps,24.8M,国语,2016-08-02",国语,Lay Me Down,24.8M,Adele - Lay Me Down.flac
